Model,Dataset,Train_Size,Seed,Best_Epoch,Train_F1,Val_Loss,Val_Acc,Val_F1,Overfit_Gap,Test_Acc,Test_F1,Maj_Baseline_Acc,Rand_Baseline_F1
LSTM,sst2,500,100,2,0.7474489795918369,0.6790913343429565,0.52,0.5555555555555556,0.1918934240362813,0.64,0.78,0.64,0.5614035087719298
LSTM,bach,10,2026,7,0.923076923076923,0.6397473812103271,0.68,0.7647058823529412,0.15837104072398178,0.68,0.71,0.52,0.5098039215686274
LSTM,sst2,50,100,3,0.7499999999999999,0.5885800644755363,0.66,0.7951807228915663,-0.04518072289156638,0.51,0.68,0.51,0.504950495049505
LSTM,sst2,250,100,1,0.7220779220779222,0.6512373983860016,0.56,0.717948717948718,0.004129204129204256,0.55,0.71,0.55,0.5238095238095238
LSTM,synthetic,10,100,1,0.0,0.6704315096139908,0.64,0.0,0.0,0.52,0.68,0.52,0.5098039215686274
LSTM,sst2,250,100,2,0.7411167512690355,0.6238788962364197,0.58,0.7042253521126761,0.03689139915635942,0.55,0.71,0.55,0.5238095238095238
LSTM,bach,100,100,89,0.8723404255319149,0.5076019242405891,0.74,0.7234042553191489,0.14893617021276606,0.78,0.76,0.52,0.5098039215686274
LSTM,synthetic,250,42,99,1.0,0.00020955222134944052,1.0,1.0,0.0,1.0,1.0,0.55,0.5238095238095238
LSTM,sst2,500,42,16,0.9965986394557823,0.5623968541622162,0.78,0.819672131147541,0.1769265083082413,0.68,0.77,0.62,0.5535714285714285
LSTM,bach,10,2026,7,0.923076923076923,0.5829320624470711,0.64,0.7096774193548387,0.21339950372208427,0.6,0.7,0.52,0.5098039215686274
LSTM,sst2,100,42,5,0.8550724637681159,0.5930330157279968,0.56,0.65625,0.19882246376811585,0.69,0.75,0.54,0.5192307692307693
LSTM,synthetic,250,100,99,1.0,0.00022756818725611083,1.0,1.0,0.0,1.0,1.0,0.55,0.4736842105263158
LSTM,sst2,100,100,1,0.7114093959731544,0.743399977684021,0.54,0.7012987012987013,0.010110694674453136,0.58,0.73,0.58,0.537037037037037
LSTM,sst2,10,42,1,0.0,0.7317707538604736,0.28,0.0,0.0,0.61,0.76,0.61,0.5495495495495496
LSTM,sst2,250,42,2,0.7613941018766756,0.5509420484304428,0.54,0.6849315068493151,0.07646259502736041,0.53,0.69,0.53,0.5145631067961165
LSTM,synthetic,100,100,100,1.0,0.0003381794522283599,1.0,1.0,0.0,1.0,1.0,0.53,0.5145631067961165
LSTM,synthetic,10,42,1,0.5714285714285715,0.6876802146434784,0.44,0.5625,0.008928571428571508,0.56,0.72,0.56,0.5283018867924528
LSTM,sst2,100,2026,4,0.8831168831168831,0.5855490565299988,0.66,0.7733333333333333,0.10978354978354976,0.6,0.75,0.6,0.5454545454545454
LSTM,bach,500,42,62,0.9017341040462428,0.3949491062334606,0.81,0.8041237113402062,0.09761039270603655,0.75,0.75,0.52,0.5098039215686274
LSTM,synthetic,50,42,19,1.0,0.0006252705352380872,1.0,1.0,0.0,0.0,0.0,0.5,0.5
LSTM,sst2,50,42,1,0.1111111111111111,0.6950365304946899,0.7,0.6666666666666665,-0.5555555555555554,0.0,0.0,0.7,0.37499999999999994
LSTM,synthetic,50,42,17,1.0,0.012829156592488289,1.0,1.0,0.0,1.0,1.0,0.5,0.5
LSTM,bach,50,42,8,0.888888888888889,0.39787721633911133,0.8,0.8,0.0888888888888889,0.0,0.0,0.8,0.6153846153846154
LSTM,sst2,50,42,33,1.0,0.15017740428447723,0.9,0.888888888888889,0.11111111111111105,0.6,0.5,0.7,0.37499999999999994
LSTM,bach,50,42,7,0.823529411764706,0.4331740438938141,0.8,0.8,0.02352941176470591,0.8,0.8,0.8,0.6153846153846154
LSTM,synthetic,500,42,90,1.0,0.00019352382878423668,1.0,1.0,0.0,1.0,1.0,0.56,0.5283018867924528
LSTM,sst2,100,2026,2,0.8165680473372781,0.6623007953166962,0.66,0.7951807228915663,0.021387324445711786,0.6,0.75,0.6,0.5454545454545454
LSTM,synthetic,10,42,16,1.0,0.4945371001958847,0.78,0.7317073170731708,0.2682926829268292,0.79,0.79,0.56,0.5283018867924528
LSTM,sst2,250,42,1,0.6964285714285715,0.580249696969986,0.66,0.7951807228915663,-0.09875215146299476,0.55,0.7,0.53,0.5145631067961165
LSTM,synthetic,250,2026,98,1.0,0.00020770920309587382,1.0,1.0,0.0,1.0,1.0,0.56,0.46808510638297873
LSTM,bach,250,42,74,0.7747747747747747,0.4258620962500572,0.7,0.6666666666666666,0.10810810810810811,0.76,0.72,0.59,0.5412844036697249
LSTM,bach,50,100,71,0.9259259259259259,0.37931281700730324,0.84,0.7999999999999999,0.125925925925926,0.7,0.69,0.6,0.5454545454545454
LSTM,synthetic,10,100,1,0.0,0.6998879760503769,0.52,0.07692307692307691,-0.07692307692307691,0.52,0.68,0.52,0.5098039215686274
LSTM,bach,500,100,34,0.8560747663551401,0.3021235689520836,0.86,0.7741935483870969,0.08188121796804326,0.83,0.85,0.52,0.5098039215686274
LSTM,bach,100,2026,49,0.8000000000000002,0.43236302584409714,0.78,0.7755102040816326,0.02448979591836753,0.76,0.74,0.51,0.494949494949495
LSTM,sst2,10,42,1,0.0,0.7191363424062729,0.26,0.0,0.0,0.61,0.76,0.61,0.5495495495495496
LSTM,bach,10,42,12,1.0,0.7009665220975876,0.68,0.7241379310344828,0.27586206896551724,0.7,0.74,0.52,0.5098039215686274
LSTM,synthetic,10,2026,12,1.0,0.4253814276307821,0.76,0.806451612903226,0.19354838709677402,0.67,0.77,0.57,0.5327102803738318
LSTM,sst2,50,2026,4,0.7951807228915663,0.6053990498185158,0.74,0.8470588235294119,-0.05187810063784559,0.65,0.79,0.65,0.5652173913043479
LSTM,bach,50,42,33,0.9152542372881356,0.4321705177426338,0.82,0.830188679245283,0.08506555804285265,0.76,0.74,0.51,0.494949494949495
LSTM,sst2,10,100,1,0.8235294117647058,0.6905302107334137,0.54,0.7012987012987013,0.12223071046600453,0.6,0.75,0.6,0.5454545454545454
LSTM,sst2,500,2026,1,0.7097661623108666,0.698490098118782,0.62,0.7654320987654321,-0.05566593645456541,0.53,0.69,0.52,0.5098039215686274
LSTM,sst2,500,42,87,0.9965986394557823,0.5938471965491772,0.7,0.7368421052631579,0.25975653419262446,0.57,0.57,0.62,0.5535714285714285
LSTM,sst2,50,42,4,0.775,0.5931860357522964,0.62,0.7654320987654322,0.009567901234567855,0.56,0.72,0.56,0.5283018867924528
LSTM,bach,500,2026,7,0.8176100628930817,0.5211882516741753,0.8,0.8076923076923076,0.009917755200774092,0.78,0.77,0.52,0.5098039215686274
LSTM,synthetic,500,100,95,1.0,0.00018842652207240462,1.0,1.0,0.0,1.0,1.0,0.53,0.5145631067961165
LSTM,bach,250,100,5,0.7782805429864253,0.4367527663707733,0.74,0.7346938775510204,0.0435866654354049,0.78,0.78,0.51,0.494949494949495
LSTM,bach,500,100,32,0.7020109689213894,0.4348462373018265,0.84,0.7142857142857143,-0.012274745364324935,0.7,0.67,0.52,0.5098039215686274
